Causa;Sexo;Edad;Periodo;Total muertes
Tumores;Hombres;De 40 a 44 años;2010;673
Tumores;Hombres;De 45 a 49 años;2010;1.650
Tumores;Hombres;De 50 a 54 años;2010;3.080
Tumores;Hombres;De 55 a 59 años;2010;4.549
Tumores;Hombres;De 60 a 64 años;2010;6.446
Tumores;Hombres;De 65 a 69 años;2010;7.587
Tumores;Hombres;De 70 a 74 años  ;2010;8.862
Tumores;Hombres;De 75 a 79 años  ;2010;11.571
Tumores;Hombres;De 80 a 84 años  ;2010;10.807
Tumores;Hombres;De 85 a 89 años  ;2010;6.984
Tumores;Hombres;De 90 a 94 años  ;2010;2.444
Tumores;Hombres;De 95 y más años;2010;583
Tumores;Mujeres;De menos de 1 año;2010;12
Tumores;Mujeres;De 1 a 4 años;2010;32
Tumores;Mujeres;De 5 a 9 años;2010;25
Tumores;Mujeres;De 10 a 14 años  ;2010;33
Tumores;Mujeres;De 15 a 19 años  ;2010;36
Tumores;Mujeres;De 20 a 24 años;2010;53
Tumores;Mujeres;De 25 a 29 años;2010;79
Tumores;Mujeres;De 30 a 34 años;2010;192
Tumores;Mujeres;De 35 a 39 años;2010;403
Tumores;Mujeres;De 40 a 44 años;2010;805
Tumores;Mujeres;De 45 a 49 años;2010;1.274
Tumores;Mujeres;De 50 a 54 años;2010;1.978
Tumores;Mujeres;De 55 a 59 años;2010;2.402
Tumores;Mujeres;De 60 a 64 años;2010;2.891
Tumores;Mujeres;De 65 a 69 años;2010;3.361
Tumores;Mujeres;De 70 a 74 años  ;2010;4.307
Tumores;Mujeres;De 75 a 79 años  ;2010;6.333
Tumores;Mujeres;De 80 a 84 años  ;2010;6.902
Tumores;Mujeres;De 85 a 89 años  ;2010;6.048
Tumores;Mujeres;De 90 a 94 años  ;2010;2.891
Tumores;Mujeres;De 95 y más años;2010;1.052
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De menos de 1 año;2010;7
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 1 a 4 años;2010;7
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 5 a 9 años;2010;4
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 10 a 14 años  ;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 15 a 19 años  ;2010;0
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 20 a 24 años;2010;4
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 25 a 29 años;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 30 a 34 años;2010;7
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 35 a 39 años;2010;4
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 40 a 44 años;2010;12
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 45 a 49 años;2010;17
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 50 a 54 años;2010;14
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 55 a 59 años;2010;20
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 60 a 64 años;2010;24
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 65 a 69 años;2010;36
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 70 a 74 años  ;2010;51
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 75 a 79 años  ;2010;93
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 80 a 84 años  ;2010;116
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 85 a 89 años  ;2010;114
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 90 a 94 años  ;2010;72
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;De 95 y más años;2010;36
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De menos de 1 año;2010;2
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 1 a 4 años;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 5 a 9 años;2010;2
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 10 a 14 años  ;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 15 a 19 años  ;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 20 a 24 años;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 25 a 29 años;2010;0
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 30 a 34 años;2010;3
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 35 a 39 años;2010;5
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 40 a 44 años;2010;5
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 45 a 49 años;2010;7
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 50 a 54 años;2010;8
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 55 a 59 años;2010;7
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 60 a 64 años;2010;16
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 65 a 69 años;2010;26
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 70 a 74 años  ;2010;41
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 75 a 79 años  ;2010;99
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 80 a 84 años  ;2010;153
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 85 a 89 años  ;2010;207
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 90 a 94 años  ;2010;175
Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;De 95 y más años;2010;107
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De menos de 1 año;2010;22
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 1 a 4 años;2010;7
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 5 a 9 años;2010;4
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 10 a 14 años  ;2010;8
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 15 a 19 años  ;2010;8
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 20 a 24 años;2010;10
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 25 a 29 años;2010;11
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 30 a 34 años;2010;24
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 35 a 39 años;2010;23
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 40 a 44 años;2010;32
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 45 a 49 años;2010;78
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 50 a 54 años;2010;100
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 55 a 59 años;2010;164
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 60 a 64 años;2010;253
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 65 a 69 años;2010;360
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 70 a 74 años  ;2010;575
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 75 a 79 años  ;2010;989
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 80 a 84 años  ;2010;1.026
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 85 a 89 años  ;2010;890
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 90 a 94 años  ;2010;427
Enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 95 y más años;2010;145
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De menos de 1 año;2010;14
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 1 a 4 años;2010;7
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 5 a 9 años;2010;3
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 10 a 14 años  ;2010;1
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 15 a 19 años  ;2010;5
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 20 a 24 años;2010;6
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 25 a 29 años;2010;6
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 30 a 34 años;2010;8
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 35 a 39 años;2010;9
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 40 a 44 años;2010;20
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 45 a 49 años;2010;38
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 50 a 54 años;2010;46
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 55 a 59 años;2010;94
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 60 a 64 años;2010;143
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 65 a 69 años;2010;272
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 70 a 74 años  ;2010;463
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 75 a 79 años  ;2010;1.027
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 80 a 84 años  ;2010;1.621
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 85 a 89 años  ;2010;1.799
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 90 a 94 años  ;2010;1.249
Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 95 y más años;2010;611
Trastornos mentales y del comportamiento;Hombres;De menos de 1 año;2010;0
Trastornos mentales y del comportamiento;Hombres;De 1 a 4 años;2010;0
Trastornos mentales y del comportamiento;Hombres;De 5 a 9 años;2010;0
Trastornos mentales y del comportamiento;Hombres;De 10 a 14 años  ;2010;0
Trastornos mentales y del comportamiento;Hombres;De 15 a 19 años  ;2010;0
Trastornos mentales y del comportamiento;Hombres;De 20 a 24 años;2010;1
Trastornos mentales y del comportamiento;Hombres;De 25 a 29 años;2010;4
Trastornos mentales y del comportamiento;Hombres;De 30 a 34 años;2010;13
Trastornos mentales y del comportamiento;Hombres;De 35 a 39 años;2010;19
Trastornos mentales y del comportamiento;Hombres;De 40 a 44 años;2010;31
Trastornos mentales y del comportamiento;Hombres;De 45 a 49 años;2010;41
Trastornos mentales y del comportamiento;Hombres;De 50 a 54 años;2010;60
Trastornos mentales y del comportamiento;Hombres;De 55 a 59 años;2010;69
Trastornos mentales y del comportamiento;Hombres;De 60 a 64 años;2010;103
Trastornos mentales y del comportamiento;Hombres;De 65 a 69 años;2010;122
Trastornos mentales y del comportamiento;Hombres;De 70 a 74 años  ;2010;250
Trastornos mentales y del comportamiento;Hombres;De 75 a 79 años  ;2010;620
Trastornos mentales y del comportamiento;Hombres;De 80 a 84 años  ;2010;1.213
Trastornos mentales y del comportamiento;Hombres;De 85 a 89 años  ;2010;1.398
Trastornos mentales y del comportamiento;Hombres;De 90 a 94 años  ;2010;800
Trastornos mentales y del comportamiento;Hombres;De 95 y más años;2010;314
Trastornos mentales y del comportamiento;Mujeres;De menos de 1 año;2010;0
Trastornos mentales y del comportamiento;Mujeres;De 1 a 4 años;2010;0
Trastornos mentales y del comportamiento;Mujeres;De 5 a 9 años;2010;0
Trastornos mentales y del comportamiento;Mujeres;De 10 a 14 años  ;2010;0
Trastornos mentales y del comportamiento;Mujeres;De 15 a 19 años  ;2010;4
Trastornos mentales y del comportamiento;Mujeres;De 20 a 24 años;2010;2
Trastornos mentales y del comportamiento;Mujeres;De 25 a 29 años;2010;3
Trastornos mentales y del comportamiento;Mujeres;De 30 a 34 años;2010;4
Trastornos mentales y del comportamiento;Mujeres;De 35 a 39 años;2010;6
Trastornos mentales y del comportamiento;Mujeres;De 40 a 44 años;2010;12
Trastornos mentales y del comportamiento;Mujeres;De 45 a 49 años;2010;15
Trastornos mentales y del comportamiento;Mujeres;De 50 a 54 años;2010;12
Trastornos mentales y del comportamiento;Mujeres;De 55 a 59 años;2010;17
Trastornos mentales y del comportamiento;Mujeres;De 60 a 64 años;2010;34
Trastornos mentales y del comportamiento;Mujeres;De 65 a 69 años;2010;62
Trastornos mentales y del comportamiento;Mujeres;De 70 a 74 años  ;2010;181
Trastornos mentales y del comportamiento;Mujeres;De 75 a 79 años  ;2010;646
Trastornos mentales y del comportamiento;Mujeres;De 80 a 84 años  ;2010;1.693
Trastornos mentales y del comportamiento;Mujeres;De 85 a 89 años  ;2010;2.877
Trastornos mentales y del comportamiento;Mujeres;De 90 a 94 años  ;2010;2.638
Trastornos mentales y del comportamiento;Mujeres;De 95 y más años;2010;1.557
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De menos de 1 año;2010;28
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 1 a 4 años;2010;21
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 5 a 9 años;2010;7
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 10 a 14 años  ;2010;14
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 15 a 19 años  ;2010;29
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 20 a 24 años;2010;26
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 25 a 29 años;2010;41
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 30 a 34 años;2010;42
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 35 a 39 años;2010;57
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 40 a 44 años;2010;80
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 45 a 49 años;2010;97
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 50 a 54 años;2010;131
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 55 a 59 años;2010;166
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 60 a 64 años;2010;259
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 65 a 69 años;2010;377
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 70 a 74 años  ;2010;637
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 75 a 79 años  ;2010;1.277
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 80 a 84 años  ;2010;1.836
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 85 a 89 años  ;2010;1.663
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 90 a 94 años  ;2010;597
Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 95 y más años;2010;183
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De menos de 1 año;2010;27
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 1 a 4 años;2010;13
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 5 a 9 años;2010;7
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 10 a 14 años  ;2010;9
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 15 a 19 años  ;2010;10
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 20 a 24 años;2010;18
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 25 a 29 años;2010;17
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 30 a 34 años;2010;23
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 35 a 39 años;2010;36
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 40 a 44 años;2010;53
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 45 a 49 años;2010;64
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 50 a 54 años;2010;77
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 55 a 59 años;2010;114
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 60 a 64 años;2010;170
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 65 a 69 años;2010;298
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 70 a 74 años  ;2010;554
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 75 a 79 años  ;2010;1.467
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 80 a 84 años  ;2010;2.732
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 85 a 89 años  ;2010;3.297
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 90 a 94 años  ;2010;1.980
Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 95 y más años;2010;751
Enfermedades del sistema circulatorio;Hombres;De menos de 1 año;2010;7
Enfermedades del sistema circulatorio;Hombres;De 1 a 4 años;2010;11
Enfermedades del sistema circulatorio;Hombres;De 5 a 9 años;2010;4
Enfermedades del sistema circulatorio;Hombres;De 10 a 14 años  ;2010;4
Enfermedades del sistema circulatorio;Hombres;De 15 a 19 años  ;2010;25
Enfermedades del sistema circulatorio;Hombres;De 20 a 24 años;2010;41
Enfermedades del sistema circulatorio;Hombres;De 25 a 29 años;2010;71
Enfermedades del sistema circulatorio;Hombres;De 30 a 34 años;2010;137
Enfermedades del sistema circulatorio;Hombres;De 35 a 39 años;2010;274
Enfermedades del sistema circulatorio;Hombres;De 40 a 44 años;2010;553
Enfermedades del sistema circulatorio;Hombres;De 45 a 49 años;2010;963
Enfermedades del sistema circulatorio;Hombres;De 50 a 54 años;2010;1.460
Enfermedades del sistema circulatorio;Hombres;De 55 a 59 años;2010;1.919
Enfermedades del sistema circulatorio;Hombres;De 60 a 64 años;2010;2.679
Enfermedades del sistema circulatorio;Hombres;De 65 a 69 años;2010;3.600
Enfermedades del sistema circulatorio;Hombres;De 70 a 74 años  ;2010;5.185
Enfermedades del sistema circulatorio;Hombres;De 75 a 79 años  ;2010;8.589
Enfermedades del sistema circulatorio;Hombres;De 80 a 84 años  ;2010;11.112
Enfermedades del sistema circulatorio;Hombres;De 85 a 89 años  ;2010;10.378
Enfermedades del sistema circulatorio;Hombres;De 90 a 94 años  ;2010;5.363
Enfermedades del sistema circulatorio;Hombres;De 95 y más años;2010;2.031
Enfermedades del sistema circulatorio;Mujeres;De menos de 1 año;2010;12
Enfermedades del sistema circulatorio;Mujeres;De 1 a 4 años;2010;10
Enfermedades del sistema circulatorio;Mujeres;De 5 a 9 años;2010;5
Enfermedades del sistema circulatorio;Mujeres;De 10 a 14 años  ;2010;5
Enfermedades del sistema circulatorio;Mujeres;De 15 a 19 años  ;2010;14
Enfermedades del sistema circulatorio;Mujeres;De 20 a 24 años;2010;19
Enfermedades del sistema circulatorio;Mujeres;De 25 a 29 años;2010;37
Enfermedades del sistema circulatorio;Mujeres;De 30 a 34 años;2010;57
Enfermedades del sistema circulatorio;Mujeres;De 35 a 39 años;2010;81
Enfermedades del sistema circulatorio;Mujeres;De 40 a 44 años;2010;154
Enfermedades del sistema circulatorio;Mujeres;De 45 a 49 años;2010;293
Enfermedades del sistema circulatorio;Mujeres;De 50 a 54 años;2010;396
Enfermedades del sistema circulatorio;Mujeres;De 55 a 59 años;2010;567
Enfermedades del sistema circulatorio;Mujeres;De 60 a 64 años;2010;838
Enfermedades del sistema circulatorio;Mujeres;De 65 a 69 años;2010;1.380
Enfermedades del sistema circulatorio;Mujeres;De 70 a 74 años  ;2010;2.947
Enfermedades del sistema circulatorio;Mujeres;De 75 a 79 años  ;2010;6.958
Enfermedades del sistema circulatorio;Mujeres;De 80 a 84 años  ;2010;12.579
Enfermedades del sistema circulatorio;Mujeres;De 85 a 89 años  ;2010;17.559
Enfermedades del sistema circulatorio;Mujeres;De 90 a 94 años  ;2010;13.503
Enfermedades del sistema circulatorio;Mujeres;De 95 y más años;2010;7.308
Enfermedades del sistema respiratorio;Hombres;De menos de 1 año;2010;12
Enfermedades del sistema respiratorio;Hombres;De 1 a 4 años;2010;7
Enfermedades del sistema respiratorio;Hombres;De 5 a 9 años;2010;4
Enfermedades del sistema respiratorio;Hombres;De 10 a 14 años  ;2010;3
Enfermedades del sistema respiratorio;Hombres;De 15 a 19 años  ;2010;7
Enfermedades del sistema respiratorio;Hombres;De 20 a 24 años;2010;19
Enfermedades del sistema respiratorio;Hombres;De 25 a 29 años;2010;42
Enfermedades del sistema respiratorio;Hombres;De 30 a 34 años;2010;61
Enfermedades del sistema respiratorio;Hombres;De 35 a 39 años;2010;96
Enfermedades del sistema respiratorio;Hombres;De 40 a 44 años;2010;123
Enfermedades del sistema respiratorio;Hombres;De 45 a 49 años;2010;195
Enfermedades del sistema respiratorio;Hombres;De 50 a 54 años;2010;275
Enfermedades del sistema respiratorio;Hombres;De 55 a 59 años;2010;375
Enfermedades del sistema respiratorio;Hombres;De 60 a 64 años;2010;653
Enfermedades del sistema respiratorio;Hombres;De 65 a 69 años;2010;1.137
Enfermedades del sistema respiratorio;Hombres;De 70 a 74 años  ;2010;2.042
Enfermedades del sistema respiratorio;Hombres;De 75 a 79 años  ;2010;3.946
Enfermedades del sistema respiratorio;Hombres;De 80 a 84 años  ;2010;5.402
Enfermedades del sistema respiratorio;Hombres;De 85 a 89 años  ;2010;5.175
Enfermedades del sistema respiratorio;Hombres;De 90 a 94 años  ;2010;2.763
Enfermedades del sistema respiratorio;Hombres;De 95 y más años;2010;1.114
Enfermedades del sistema respiratorio;Mujeres;De menos de 1 año;2010;11
Enfermedades del sistema respiratorio;Mujeres;De 1 a 4 años;2010;7
Enfermedades del sistema respiratorio;Mujeres;De 5 a 9 años;2010;4
Enfermedades del sistema respiratorio;Mujeres;De 10 a 14 años  ;2010;1
Enfermedades del sistema respiratorio;Mujeres;De 15 a 19 años  ;2010;7
